"run_init_utc","valid_time_utc","forecast_hour","filename","extension","url","local_path","success","attempts","remote_bytes","local_bytes","error"
"2026-03-04 00:00:00","2026-03-04 03:00:00",3,"WRF_cpt_07KM_2026030400_2026030403.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030403.grib2","data/WRF_downloads/20260304/h003/WRF_cpt_07KM_2026030400_2026030403.grib2",TRUE,1,205047268,205047268,NA
"2026-03-04 00:00:00","2026-03-04 03:00:00",3,"WRF_cpt_07KM_2026030400_2026030403.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030403.grib2.idx","data/WRF_downloads/20260304/h003/WRF_cpt_07KM_2026030400_2026030403.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 04:00:00",4,"WRF_cpt_07KM_2026030400_2026030404.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030404.ctl","data/WRF_downloads/20260304/h004/WRF_cpt_07KM_2026030400_2026030404.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 04:00:00",4,"WRF_cpt_07KM_2026030400_2026030404.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030404.grib2","data/WRF_downloads/20260304/h004/WRF_cpt_07KM_2026030400_2026030404.grib2",TRUE,1,206228958,206228958,NA
"2026-03-04 00:00:00","2026-03-04 04:00:00",4,"WRF_cpt_07KM_2026030400_2026030404.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030404.grib2.idx","data/WRF_downloads/20260304/h004/WRF_cpt_07KM_2026030400_2026030404.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 05:00:00",5,"WRF_cpt_07KM_2026030400_2026030405.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030405.ctl","data/WRF_downloads/20260304/h005/WRF_cpt_07KM_2026030400_2026030405.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 05:00:00",5,"WRF_cpt_07KM_2026030400_2026030405.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030405.grib2","data/WRF_downloads/20260304/h005/WRF_cpt_07KM_2026030400_2026030405.grib2",TRUE,1,206338818,206338818,NA
"2026-03-04 00:00:00","2026-03-04 05:00:00",5,"WRF_cpt_07KM_2026030400_2026030405.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030405.grib2.idx","data/WRF_downloads/20260304/h005/WRF_cpt_07KM_2026030400_2026030405.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 06:00:00",6,"WRF_cpt_07KM_2026030400_2026030406.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030406.ctl","data/WRF_downloads/20260304/h006/WRF_cpt_07KM_2026030400_2026030406.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 06:00:00",6,"WRF_cpt_07KM_2026030400_2026030406.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030406.grib2","data/WRF_downloads/20260304/h006/WRF_cpt_07KM_2026030400_2026030406.grib2",TRUE,1,207534339,207534339,NA
"2026-03-04 00:00:00","2026-03-04 06:00:00",6,"WRF_cpt_07KM_2026030400_2026030406.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030406.grib2.idx","data/WRF_downloads/20260304/h006/WRF_cpt_07KM_2026030400_2026030406.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 07:00:00",7,"WRF_cpt_07KM_2026030400_2026030407.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030407.ctl","data/WRF_downloads/20260304/h007/WRF_cpt_07KM_2026030400_2026030407.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 07:00:00",7,"WRF_cpt_07KM_2026030400_2026030407.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030407.grib2","data/WRF_downloads/20260304/h007/WRF_cpt_07KM_2026030400_2026030407.grib2",TRUE,1,207423314,207423314,NA
"2026-03-04 00:00:00","2026-03-04 07:00:00",7,"WRF_cpt_07KM_2026030400_2026030407.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030407.grib2.idx","data/WRF_downloads/20260304/h007/WRF_cpt_07KM_2026030400_2026030407.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 08:00:00",8,"WRF_cpt_07KM_2026030400_2026030408.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030408.ctl","data/WRF_downloads/20260304/h008/WRF_cpt_07KM_2026030400_2026030408.ctl",TRUE,1,7930,7930,NA
