Running in GHA mode.
Auto-detected latest run: 2026-03-05 00:00 UTC
================================================================
Run init  : 2026-03-05 00:00 UTC (00Z)
Fcst hrs  : 0 to 72
Base URL  : https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/05/00/
Local dir : data/WRF_downloads/20260305
Exclude   : inv
================================================================

Fetching file list from server...
Files in window: 221
  ctl     : 74
  grib2   : 73
  grib2.idx: 74

Already on disk: 10  |  To download: 211


Attaching package: ‘progressr’

The following object is masked from ‘package:httr’:

    progress


[ 96/211] OK  h033 |  197.63 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030609.grib2
[ 97/211] OK  h033 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030609.grib2.idx
[ 98/211] OK  h034 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030610.ctl
[ 99/211] OK  h034 |  198.44 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030610.grib2
[100/211] OK  h034 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030610.grib2.idx
[101/211] OK  h035 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030611.ctl
[102/211] OK  h035 |  198.41 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030611.grib2
[103/211] OK  h035 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030611.grib2.idx
[104/211] OK  h036 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030612.ctl
[105/211] OK  h036 |  198.52 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030612.grib2
[106/211] OK  h036 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030612.grib2.idx
[107/211] OK  h038 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030614.grib2.idx
[108/211] OK  h039 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030615.ctl
[109/211] OK  h039 |  200.93 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030615.grib2
[110/211] OK  h039 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030615.grib2.idx
[111/211] OK  h040 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030616.ctl
[112/211] OK  h040 |  203.17 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030616.grib2
